SYSTEM,STANDARD_IDENTIFIER,STANDARD_DISPLAY,RANK
LOINC,22653-0,Cystine [Moles/volume] in Cerebral spinal fluid,8678
LOINC,55228-1,Cytogenetics study,7538
LOINC,5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,1106
LOINC,5000-5,Cytomegalovirus DNA [Presence] in Specimen by NAA with probe detection,957
LOINC,17096-9,Kappa lymphocytes/100 lymphocytes in Blood,17758
LOINC,17224-7,Lambda lymphocytes/100 lymphocytes in Blood,4497
LOINC,48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,583
LOINC,2191-5,Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma,708
LOINC,2196-4,Dehydroepiandrosterone (DHEA).unconjugated [Mass/volume] in Serum or Plasma,5171
LOINC,14047-5,Androstanolone Free [Mass/volume] in Serum or Plasma,10085
LOINC,48654-8,Corynebacterium diphtheriae toxin IgG Ab [Units/volume] in Serum by Immunoassay,4024
LOINC,34187-5,DNA double strand Ab [Titer] in Serum by Immunofluorescence (IF) Crithidia luciliae,2122
LOINC,25097-7,Dodecanedioate/Creatinine [Molar ratio] in Urine,11859
LOINC,2216-0,DOPamine [Mass/volume] in Serum or Plasma,3107
LOINC,57838-5,dRVVT W excess phospholipid (LA confirm),1708
LOINC,50008-2,Mixing studies [Interpretation] in Platelet poor plasma Narrative,3566
LOINC,6303-2,dRVVT (LA screen),1042
LOINC,29463-7,Body weight,44
LOINC,6097-0,Dandelion IgE Ab [Units/volume] in Serum,4883
LOINC,51953-8,Collection date of Blood,10731
LOINC,45352-2,Date skin test interpreted,11013
SNOMED CT,171207006,Depression screening,-1
LOINC,8665-2,Last menstrual period start date,902
LOINC,65222-2,Date and time of symptom onset,-1
LOINC,68445-6,Date transplant,-1
LOINC,47046-8,Summary of death note,-1
LOINC,25093-6,Decadienediate/Creatinine [Molar ratio] in Urine,11429
LOINC,30327-1,Decanoylcarnitine (C10) [Moles/volume] in Serum or Plasma,2245
LOINC,30328-9,Decenoylcarnitine (C10:1) [Moles/volume] in Serum or Plasma,2230
LOINC,43407-6,Bacteria identified in Wound deep by Culture,414
LOINC,57071-3,Obstetric delivery method,-1
LOINC,1970-3,Bilirubin.delta [Mass/volume] in Serum or Plasma,13460
LOINC,3435-5,Carboxy tetrahydrocannabinol [Presence] in Urine,4496
LOINC,3528-7,Tetrahydrocannabinol [Mass/volume] in Serum or Plasma,9653
LOINC,30520-1,Deoxycholate [Moles/volume] in Serum or Plasma,3454
LOINC,14045-9,D-Lactate [Moles/volume] in Serum or Plasma,1884
SNOMED CT,413558003,Anticoagulation contraindicated (situation),-1
LOINC,6096-2,European house dust mite IgE Ab [Units/volume] in Serum,1102
LOINC,18842-5,Discharge summary,5023
LOINC,55776-9,Direct antiglobulin test.IgG specific reagent [Presence] on Red Blood Cells,2940
LOINC,1007-4,Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells,953
LOINC,33882-2,Collection date of Specimen,2056
SNOMED CT,312681000,Bone density scan,-1
LOINC,35174-2,Docosahexaenoate (C22:6w3) [Moles/volume] in Serum or Plasma,3307
LOINC,2193-1,Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma,2248
LOINC,7790-9,Burr cells [Presence] in Blood by Light microscopy,612
LOINC,1250-0,Major crossmatch [Interpretation],447
LOINC,15174-6,Cryocrit of Serum by Spun Westergren,4756
LOINC,48614-2,Cryoglobulin [Presence] in Serum by Immune diffusion (ID),7322
LOINC,11043-7,Cryofibrinogen [Presence] in Plasma,4614
LOINC,5117-7,Cryoglobulin [Presence] in Serum,2534
LOINC,11473-6,Cryptococcus sp Ag [Titer] in Specimen,6057
LOINC,29533-7,Cryptococcus sp Ag [Presence] in Specimen,5618
LOINC,16124-0,Cryptococcus sp Ab [Titer] in Serum,9411
LOINC,6371-9,Cryptosporidium sp Ag [Presence] in Stool by Immunoassay,2226
LOINC,20781-1,Cryptosporidium sp [Presence] in Stool by Acid fast stain,6614
LOINC,38459-4,Crystals [#/area] in Urine sediment by Microscopy high power field,1310
LOINC,49755-2,Crystals [Presence] in Urine sediment by Light microscopy,3415
LOINC,6825-4,Crystals [type] in Body fluid by Light microscopy,1595
LOINC,5781-0,Crystals [type] in Synovial fluid by Light microscopy,2423
LOINC,5631-7,Copper [Mass/volume] in Serum or Plasma,999
LOINC,6724-9,Cucumber IgE Ab [Units/volume] in Serum,6469
LOINC,6236-4,Cultivated Rye IgE Ab [Units/volume] in Serum,7183
LOINC,6277-8,Cultivated Wheat IgE Ab [Units/volume] in Serum,6007
SNOMED CT,363805003,Weight gain (amount) (observable entity),-1
SNOMED CT,230125005,Diet followed (observable entity),-1
SNOMED CT,364697006,Equipment observable (observable entity),-1
LOINC,6094-7,Curvularia lunata IgE Ab [Units/volume] in Serum,5361
LOINC,5634-1,Cyanide [Mass/volume] in Blood,5830
LOINC,22712-4,Adenosine monophosphate.cyclic [Moles/volume] in Urine,10917
LOINC,32218-0,Cyclic citrullinated peptide Ab [Units/volume] in Serum by Immunoassay,929
LOINC,33935-8,Cyclic citrullinated peptide IgG Ab [Units/volume] in Serum or Plasma,713
LOINC,1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,131
LOINC,1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,183
LOINC,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,22
LOINC,1982-8,Biotinidase [Enzymatic activity/volume] in Serum or Plasma,6014
LOINC,8290-9,Head Occipital-frontal circumference --at birth- by Tape measure,-1
LOINC,8339-4,Birth weight Measured,6750
LOINC,6045-9,Black Pepper IgE Ab [Units/volume] in Serum,7423
LOINC,7151-4,Blackberry IgE Ab [Units/volume] in Serum,7773
SNOMED CT,129009001,"Bladder control, function (observable entity)",-1
LOINC,8334-5,Body temperature - Urinary bladder,11538
LOINC,709-6,Blasts/100 leukocytes in Blood by Manual count,827
LOINC,11067-6,Bleeding time,9623
LOINC,10372-1,Blister cells [Presence] in Blood by Light microscopy,7845
LOINC,5794-3,Hemoglobin [Presence] in Urine by Test strip,98
LOINC,533-0,Mycobacterium sp identified in Blood by Organism specific culture,1067
SNOMED CT,75367002,Blood pressure (observable entity),-1
LOINC,934-0,Blood product unit ID [#],411
LOINC,933-2,Blood product type,318
LOINC,882-1,ABO and Rh group [Type] in Blood,207
LOINC,14577-1,ABO and Rh group [Type] in Blood from Donor,-1
LOINC,6048-3,Blue mussel IgE Ab [Units/volume] in Serum,4154
LOINC,611-4,Bacteria identified in Body fluid by Culture,661
LOINC,5770-3,Bilirubin.total [Presence] in Urine by Test strip,158
LOINC,14422-0,Bilirubin.total [Mass/volume] in Peritoneal fluid,16058
LOINC,42719-5,Bilirubin.total [Mass/volume] in Blood,912
LOINC,1974-5,Bilirubin.total [Mass/volume] in Body fluid,1249
LOINC,7118-3,Basil IgE Ab [Units/volume] in Serum,8773
LOINC,706-2,Basophils/100 leukocytes in Blood by Automated count,42
LOINC,703-9,Basophilic stippling [Presence] in Blood by Light microscopy,1247
LOINC,12179-8,Basophils/100 leukocytes in Body fluid by Manual count,3027
LOINC,41653-7,Glucose [Mass/volume] in Capillary blood by Glucometer,56
SNOMED CT,8009008,Nocturnal enuresis (finding),-1
LOINC,6039-2,Beef IgE Ab [Units/volume] in Serum,1911
LOINC,35529-7,Beef IgG Ab [Mass/volume] in Serum,8733
LOINC,54511-1,Behavior,-1
LOINC,1928-1,Immunoglobulin light chains [Presence] in Urine,1517
LOINC,3390-2,Benzodiazepines [Presence] in Urine,332
LOINC,16195-0,Benzodiazepines [Presence] in Urine by Confirmatory method,3383
LOINC,25090-2,Benzoate/Creatinine [Molar ratio] in Urine,12339
LOINC,42662-7,Benzodiazepines [Presence] in Blood,8703
LOINC,3393-6,Benzoylecgonine [Presence] in Urine,495
LOINC,6041-8,Bermuda grass IgE Ab [Units/volume] in Serum,1372
LOINC,1953-9,Beta-2-Microglobulin [Mass/volume] in Urine,4311
LOINC,2871-2,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis,359
LOINC,13982-4,Beta globulin/Protein.total in Serum or Plasma by Electrophoresis,1806
LOINC,2870-4,Beta globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,7467
LOINC,13976-6,Beta globulin/Protein.total in Cerebral spinal fluid by Electrophoresis,8324
LOINC,13994-9,Beta globulin/Protein.total in Urine by Electrophoresis,1858
LOINC,6873-4,Beta hydroxybutyrate [Moles/volume] in Serum or Plasma,1063
LOINC,41397-1,Beta lactoglobulin IgE Ab [Units/volume] in Serum,3985
LOINC,32737-9,Beta 2 globulin/Protein.total in Urine by Electrophoresis,16794
LOINC,26604-9,Beta alanine [Moles/volume] in Serum or Plasma,2847
LOINC,11038-7,Beta+gamma tocopherol [Mass/volume] in Serum or Plasma,1969
LOINC,1959-6,Bicarbonate [Moles/volume] in Blood,236
LOINC,1960-4,Bicarbonate [Moles/volume] in Arterial blood,198
LOINC,1964-6,Bicarbonate [Moles/volume] in Urine,8146
LOINC,14628-2,Bile acid [Moles/volume] in Serum or Plasma,1720
LOINC,15152-2,Bilirubin.conjugated [Mass/volume] in Serum or Plasma,233
LOINC,6035-0,Banana IgE Ab [Units/volume] in Serum,3462
LOINC,764-1,Band form neutrophils/100 leukocytes in Blood by Manual count,255
LOINC,13354-6,Band form neutrophils/100 leukocytes in Body fluid by Manual count,5528
LOINC,3377-9,Barbiturates [Presence] in Urine,286
LOINC,3376-1,"Barbiturates [Presence] in Serum, Plasma or Blood",4116
LOINC,16429-3,Barbiturates [Presence] in Urine by Confirmatory method,4203
LOINC,6037-6,Barley IgE Ab [Units/volume] in Serum,2314
SNOMED CT,247576004,Learning disability,-1
SNOMED CT,710838003,Assessment of barriers to adherence (procedure),-1
LOINC,6954-2,Bartonella henselae IgG Ab [Titer] in Serum by Immunofluorescence,2627
LOINC,6955-9,Bartonella henselae IgM Ab [Titer] in Serum by Immunofluorescence,2622
LOINC,44827-4,Bartonella quintana IgG Ab [Titer] in Serum by Immunofluorescence,2946
LOINC,44825-8,Bartonella quintana IgM Ab [Titer] in Serum by Immunofluorescence,2938
LOINC,1925-7,Base excess in Arterial blood by calculation,360
LOINC,30318-0,Base deficit in Blood,558
LOINC,1922-4,Base deficit in Arterial blood,591
LOINC,1923-2,Base deficit in Capillary blood,5566
LOINC,1924-0,Base deficit in Venous blood,3560
LOINC,11555-0,Base excess in Blood by calculation,262
LOINC,1926-5,Base excess in Capillary blood by calculation,1578
LOINC,1927-3,Base excess in Venous blood by calculation,701
LOINC,24321-2,Basic metabolic 2000 panel - Serum or Plasma,84
LOINC,24666-0,RF Colon Views W air and barium contrast PR,-1
LOINC,44227-7,RF Colon Views W barium contrast PR,-1
LOINC,43858-0,Beta-2 transferrin [Presence] in Specimen,5267
LOINC,26605-6,Beta aminoisobutyrate [Moles/volume] in Serum or Plasma,2852
LOINC,25086-0,Beta aminoisobutyrate/Creatinine [Molar ratio] in Urine,12684
LOINC,15283-5,Silver Birch IgE Ab [Units/volume] in Serum,1529
LOINC,41479-7,BK virus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,2310
LOINC,41480-5,BK virus DNA [#/volume] (viral load) in Urine by NAA with probe detection,3098
LOINC,48309-9,BK virus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,1210
LOINC,59574-4,Body mass index (BMI) [Percentile],333
LOINC,30934-4,Natriuretic peptide B [Mass/volume] in Serum or Plasma,180
LOINC,8358-4,Blood pressure device Cuff size,1155
LOINC,41904-4,Blood pressure measurement site,-1
LOINC,21636-6,BRCA1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,12928
LOINC,38530-2,BRCA2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,12965
LOINC,26215-4,US Breast - left,4148
LOINC,26216-2,US Breast - right,4374
LOINC,26288-1,US Breast - left limited,-1
LOINC,26290-7,US Breast - right limited,-1
LOINC,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,9
LOINC,3093-2,Urea nitrogen [Mass/volume] in Body fluid,1244
LOINC,3097-3,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma,109
LOINC,21089-8,Babesia microti DNA [Presence] in Blood by NAA with probe detection,5674
LOINC,16117-4,Babesia microti IgG Ab [Titer] in Serum,4345
LOINC,16118-2,Babesia microti IgM Ab [Titer] in Serum,5198
LOINC,25145-4,Bacteria [Presence] in Urine sediment by Light microscopy,152
LOINC,42803-7,Bacteria identified in Isolate,4101
LOINC,6034-3,Bahia grass IgE Ab [Units/volume] in Serum,3432
LOINC,9592-7,Borrelia burgdorferi 39kD IgG Ab [Presence] in Serum by Immunoblot,2389
LOINC,9599-2,Borrelia burgdorferi 39kD IgM Ab [Presence] in Serum by Immunoblot,2434
LOINC,81140-6,CYP3A5 gene allele [Genotype] in Blood or Tissue by Molecular genetics method Nominal,9798
LOINC,30233-1,3-Hydroxydodecanoylcarnitine (C12-OH) [Moles/volume] in Serum or Plasma,2370
LOINC,30234-9,3-Hydroxypalmitoylcarnitine (C16-OH) [Moles/volume] in Serum or Plasma,2247
LOINC,30235-6,3-Hydroxypalmitoleylcarnitine (C16:1-OH) [Moles/volume] in Serum or Plasma,2244
LOINC,30237-2,3-Hydroxylinoleoylcarnitine (C18:2-OH) [Moles/volume] in Serum or Plasma,2243
LOINC,30312-3,3-Hydroxyoleoylcarnitine (C18:1-OH) [Moles/volume] in Serum or Plasma,2242
LOINC,30238-0,3-Hydroxytetradecanoylcarnitine (C14-OH) [Moles/volume] in Serum or Plasma,2240
LOINC,30190-3,3-Hydroxytetradecenoylcarnitine (C14:1-OH) [Moles/volume] in Serum or Plasma,2463
LOINC,29868-7,Gamma hydroxybutyrate [Presence] in Urine,10743
LOINC,29519-6,4-Hydroxyphenylpyruvate/Creatinine [Molar ratio] in Urine,3833
LOINC,25088-6,4-Hydroxyphenylacetate/Creatinine [Molar ratio] in Urine,7662
LOINC,32660-3,6-Thioguanine [Entitic substance] in Red Blood Cells,3437
LOINC,10975-1,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine,3296
LOINC,19321-9,6-Monoacetylmorphine (6-MAM) [Presence] in Urine by Screen method,3631
LOINC,9596-8,Borrelia burgdorferi 66kD IgG Ab [Presence] in Serum by Immunoblot,2388
LOINC,32654-6,6-Methylmercaptopurine [Entitic substance] in Red Blood Cells,3589
LOINC,21046-8,7-Aminoflunitrazepam [Mass/volume] in Serum or Plasma,11482
LOINC,9597-6,Borrelia burgdorferi 93kD IgG Ab [Presence] in Serum by Immunoblot,2411
LOINC,35475-3,Transferrin.carbohydrate deficient.asialo/Transferrin.carbohydrate deficient.tetrasialo [Mass Ratio] in Serum or Plasma,4767
LOINC,6025-1,Aspergillus fumigatus IgE Ab [Units/volume] in Serum,1156
LOINC,26954-8,Aspergillus fumigatus IgG Ab [Mass/volume] in Serum,6522
LOINC,23877-4,Anaplasma phagocytophilum IgG Ab [Titer] in Serum by Immunofluorescence,4199
LOINC,23878-2,Anaplasma phagocytophilum IgM Ab [Titer] in Serum by Immunofluorescence,5442
LOINC,6029-3,Aureobasidium pullulans IgE Ab [Units/volume] in Serum,5497
LOINC,1759-0,Albumin/Globulin [Mass Ratio] in Serum or Plasma,101
LOINC,19057-9,ABO and Rh group [Type] in Blood from Newborn,1227
LOINC,883-9,ABO group [Type] in Blood,617
LOINC,763-3,Band form neutrophils [#/volume] in Blood by Manual count,530
LOINC,704-7,Basophils [#/volume] in Blood by Automated count,31
LOINC,711-2,Eosinophils [#/volume] in Blood by Automated count,34
LOINC,731-0,Lymphocytes [#/volume] in Blood by Automated count,33
LOINC,25089-4,4-Hydroxyphenyllactate/Creatinine [Molar ratio] in Urine,3854
LOINC,9593-5,Borrelia burgdorferi 41kD IgG Ab [Presence] in Serum by Immunoblot,2416
LOINC,9587-7,Borrelia burgdorferi 41kD IgM Ab [Presence] in Serum by Immunoblot,2440
LOINC,9594-3,Borrelia burgdorferi 45kD IgG Ab [Presence] in Serum by Immunoblot,2393
LOINC,1695-6,5-Hydroxyindoleacetate [Mass/time] in 24 hour Urine,2637
LOINC,12255-6,Volume of 5 hour Urine,5669
LOINC,1690-7,5'-Nucleotidase [Enzymatic activity/volume] in Serum or Plasma,5393
LOINC,51649-2,Hepatitis C virus c100p+5-1-1 Ab [Presence] in Serum by Immunoblot,14367
LOINC,47545-9,5-Hydroxyindoleacetate/Creatinine [Molar ratio] in 24 hour Urine,-1
LOINC,1694-9,5-Hydroxyindoleacetate [Mass/volume] in Urine,8234
LOINC,29522-0,5-Oxoproline/Creatinine [Molar ratio] in Urine,8330
LOINC,9595-0,Borrelia burgdorferi 58kD IgG Ab [Presence] in Serum by Immunoblot,2385
LOINC,10976-9,6-Monoacetylmorphine (6-MAM) [Presence] in Urine,1812
LOINC,3087-4,Urate [Mass/time] in 24 hour Urine,2634
LOINC,5612-7,Cadmium [Mass/time] in 24 hour Urine,3899
LOINC,2889-4,Protein [Mass/time] in 24 hour Urine,956
LOINC,14956-7,Microalbumin [Mass/time] in 24 hour Urine,4312
LOINC,2671-6,Normetanephrine [Mass/time] in 24 hour Urine,2264
LOINC,5633-3,Copper [Mass/time] in 24 hour Urine,3346
LOINC,3167-4,Volume of 24 hour Urine,631
LOINC,19049-6,Metanephrine [Mass/time] in 24 hour Urine,2354
LOINC,2609-6,Metanephrines [Mass/time] in 24 hour Urine,5576
LOINC,3096-5,Urea nitrogen [Mass/time] in 24 hour Urine,3281
LOINC,62292-8,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma,194
LOINC,9590-1,Borrelia burgdorferi 28kD IgG Ab [Presence] in Serum by Immunoblot,2394
LOINC,25082-9,2-methyl-3-hydroxybutyrate (C5-OH)/Creatinine [Molar ratio] in Urine,10741
LOINC,29509-7,Beta hydroxybutyrate/Creatinine [Molar ratio] in Urine,7650
LOINC,29510-5,3-Hydroxyglutarate/Creatinine [Molar ratio] in Urine,8382
LOINC,29511-3,3-Hydroxyisobutyrate/Creatinine [Molar ratio] in Urine,10373
LOINC,29514-7,3-Hydroxyisovalerate/Creatinine [Molar ratio] in Urine,11525
LOINC,29516-2,3-Hydroxyvalerate/Creatinine [Molar ratio] in Urine,11521
LOINC,26004-2,Vanillylmandelate/Creatinine [Molar ratio] in 24 hour Urine,17021
LOINC,24436-8,3-Methylcrotonylglycine/Creatinine [Molar ratio] in Urine,8992
LOINC,20635-9,3-Methylhistidine [Moles/volume] in Serum or Plasma,7024
LOINC,26575-1,3-Methylhistidine/Creatinine [Molar ratio] in Urine,12533
LOINC,25087-8,3-Methylglutaconate/Creatinine [Molar ratio] in Urine,11607
LOINC,29518-8,3-Methylglutarate/Creatinine [Molar ratio] in Urine,11624
LOINC,26585-0,3-Methylhistidine [Moles/volume] in Cerebral spinal fluid,14790
LOINC,33916-8,Trans-3-Hydroxycotinine [Mass/volume] in Urine,4426
LOINC,39001-3,3-Hydroxyisovalerylcarnitine (C5-OH) [Moles/volume] in Serum or Plasma,3599
LOINC,30236-4,3-Hydroxyhexanoylcarnitine (C6-OH) [Moles/volume] in Serum or Plasma,2935
LOINC,9591-9,Borrelia burgdorferi 30kD IgG Ab [Presence] in Serum by Immunoblot,2407
LOINC,8117-4,CD19 cells/100 cells in Blood,1322
LOINC,10548-6,Phenytoin Free/Phenytoin.total in Serum or Plasma,2450
LOINC,50366-4,Prolactin monomeric/Prolactin.total in Serum or Plasma,5392
LOINC,8123-2,CD3+CD4+ (T4 helper) cells/100 cells in Blood,610
LOINC,1501-6,Glucose [Mass/volume] in Serum or Plasma --1 hour post 100 g glucose PO,1338
LOINC,1514-9,Glucose [Mass/volume] in Serum or Plasma --2 hours post 100 g glucose PO,1567
LOINC,1530-5,Glucose [Mass/volume] in Serum or Plasma --3 hours post 100 g glucose PO,1542
LOINC,1549-5,Glucose [Mass/volume] in Serum or Plasma --pre 100 g glucose PO,6149
LOINC,1657-6,11-Deoxycortisol [Mass/volume] in Serum or Plasma,4580
LOINC,75880-5,14-3-3 eta Ag [Mass/volume] in Serum by Immunoassay,6901
LOINC,1668-3,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma,1334
LOINC,6765-2,17-Hydroxypregnenolone [Mass/volume] in Serum or Plasma,4115
LOINC,9588-5,Borrelia burgdorferi 18kD IgG Ab [Presence] in Serum by Immunoblot,2403
LOINC,26600-7,Alpha aminoadipate [Moles/volume] in Serum or Plasma,2854
LOINC,20634-2,Alpha aminobutyrate [Moles/volume] in Serum or Plasma,2846
LOINC,29502-2,2-Hydroxyglutarate/Creatinine [Molar ratio] in Urine,11586
LOINC,29858-8,Alpha hydroxybutyrate/Creatinine [Molar ratio] in Urine,10953
LOINC,29503-0,2-Hydroxyisocaproate/Creatinine [Molar ratio] in Urine,7753
LOINC,29504-8,2-Hydroxyisovalerate/Creatinine [Molar ratio] in Urine,11520
LOINC,24435-0,2-Methylbutyrylglycine/Creatinine [Molar ratio] in Urine,9430
LOINC,29505-5,2-Hydroxy-3-Methylvalerate/Creatinine [Molar ratio] in Urine,9680
LOINC,25083-7,"2-Oxo,3-Methylvalerate/Creatinine [Molar ratio] in Urine",3853
LOINC,25084-5,2-Oxoisocaproate/Creatinine [Molar ratio] in Urine,3830
LOINC,25085-2,2-Oxoisovalerate/Creatinine [Molar ratio] in Urine,3856
LOINC,29506-3,2-Oxoadipate/Creatinine [Molar ratio] in Urine,11833
LOINC,29507-1,Alpha ketoglutarate/Creatinine [Molar ratio] in Urine,3811
LOINC,17781-6,21-Hydroxylase Ab [Units/volume] in Serum,3568
LOINC,9589-3,Borrelia burgdorferi 23kD IgG Ab [Presence] in Serum by Immunoblot,2401
LOINC,9598-4,Borrelia burgdorferi 23kD IgM Ab [Presence] in Serum by Immunoblot,2424
LOINC,8112-5,CD3-CD16+CD56+ (Natural killer) cells/100 cells in Blood,2098
LOINC,10622-9,Spermatozoa Normal/100 spermatozoa in Semen,2018
